id,location,tags
1,Campus Hub,Commonwealth chinese rice noodles shrimp fried grilled chicken chips yam  vegetable pepperoni pork beef salad meat greek salad sauce burger  shawarma soda don simon alcohol water malt ceres juice fresh smoothies water 
2,Chaleur Restaurant,Statistics jollof rice banku okro soup pepper fish yam garden eggs  
3,Commonwealth Hall,chinese rice noodles shrimp fried grilled chicken chips yam Commonwealth vegetable pepperoni pork beef salad meat greek salad sau
4,Statistics Department,Chaleur Restaurant jollof rice banku okro soup pepper fish yam garden egg
5,Royal Mic Jean,N-Block balls Botany sausage  indomie meat pie corn beef spaghetti sardine  macaroni jollof rice fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi
6,Botany Department,gizzard N-Block  sausage  indomie meat pie corn beef spaghetti sardine  macaroni jollof rice fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi ademe black pepper macaroni tilapia beans gari plantain waakye mic jean gizzard rice fried Royal Mic Jean
7,N-Block,fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi ademe black pepper macaroni tilapia beans gari plantain waakye mic jean gizzard rice fried MicJean Botany
8,Volta Hall,kenkey sardine fish tilapia green black pepper waakye gizzard beans jollof ketchup salad fried gizzard rice macaroni fufu omotuo balls goat dried tuna salmon light pamlnut groundnut soup cow Commonwealth Hall Legon
9,Legon Hall,waakye chicken sardine rice jollof fried meat Commonwealth Volta cow fufu tomatoes sauce chicken grilled
10,Alpha food,bush canteen banku omotuo fufu akple konkonte
11,Hajia Special food,bush canteen tuo zaafi waakye dawadawa jollof fried rice plai
12,The cost cutter(F4),bush canteen fufu banku konkonte
13,Nelly's Kitchen,bush canteen jollof fried rice banku tilapia
14,Queen's Food,bush canteen waakye fried rice chicken fries potato
15,Makafui's kenkey,bush canteen rice fried jollof waakye
16,Mandy's Kitchen,bush canteen kenkey pepper green red fish sardine
17,R & D catering service,bush canteen yam rice boiled stew tomatoes fish chicken waakye
18,God is Good Beans,bush canteen plain rice beans plantain fried go
19,Daavi's beans,night market beans gob3 plantain fried rice pl
20,Bread hub,night market sprint family bb a1 97 egg fruit
21,Meluvs,night market jollof fried rice kelewele chicken wings yam chips juice
22,Easy eats Pork chops,night market pork jollof chops kenkey yam chips kenkey chicken wings
23,Daavi feli,night market waakye special rice plain stew jollof
24,Snack pot,night market vanilla yoghurt strawberry pineapple juice pastries waffles pancakes sausage doughnut roll smoothies banana apple tropical mango pineapple milkshake chocolate vanilla coffee
25,Fingerlickin',night market jollof special plain rice waakye
26,Pleasure palace,night market jollof rice fried noodles spaghetti indomie chicken burgers fries yam burgers fufu local palava sauce stew balls banku soup light fish red-red gob3
27,Eden Breakfast,night market tea oats bread egg koko porridge sobolo rice tom-brown
28,Hajia Special Koko,night market rice water ice kenkey oats wheat porridge wheat oblayoo sobolo ekuegbemi hausa koko
29,Gods Time,night market banku tuo zafi omotuo kokonte 
30,Sweet lamin,night market waakye jollof plain rice chicken sausage
31,Mama charie,night market waakye jollof plain rice chicken sausage
32,Sweet Chocomilo,night market fried rice jollof plain rice banku
33,Favoured One indomie,night market indomie spaghetti
34,God is Able,night market banku fufu konkonte omotuo
35,Baba Special Khebab,night market sausage beef goat gizzard liver tilapia guinea fowl chicken
36,Night Market,Daavi feli Bread hub Meluvs Easy eats Pork chops Daavi feli Snack pot Fingerlickin' Pleasure palace Eden Breakfast Hajia Special Koko Gods Time is the best Sweet lamin Mama charie Sweet Chocomilo Favoured One indomie Baba Special Khebab
37,Village Canteen,okro pepper hot yam garden egg jollof rice chicken salad meat greek pork vegetable beef  don simon ceres pineapple coke milk wheat 
38,Akuafo Hall,soil banku okro pepper hot yam garden egg jollof rice chicken salad meat greek pork vegetable beef  don simon ceres pineapple coke milk wheat 
39,Sha-shill,ElizabethSey pizza vegetable beef pork chicken meat fries noodles rice salad greek pork sauce soda u-fresh fanta coke sprite 
40,ElizabethSey,Sha-shill pizza vegetable beef pork chicken meat fries noodles rice salad greek pork sauce soda u-fresh fanta coke sprite
