"id	location	tags	"
"1	Campus Hub	chinese rice noodles shrimp fried grilled chicken chips yam Commonwealth vegetable pepperoni pork beef salad meat greek salad sauce burger  shawarma soda don simon alcohol water malt ceres juice fresh smoothies water	"
"2	Chaleur Restaurant	Statistics jollof rice banku okro soup pepper fish yam garden eggs 	"
"3	Commonwealth Hall	chinese rice noodles shrimp fried grilled chicken chips yam Commonwealth vegetable pepperoni pork beef salad meat greek salad sauce burger  shawarma soda don simon	"
"4	Statistics Department	chaleur jollof rice banku okro soup pepper fish yam garden eggs 	"
"5	Royal Mic Jean	gizzard N-Block balls Botany sausage  indomie meat pie corn beef spaghetti sardine  macaroni jollof rice fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi ademe black pepper macaroni tilapia beans gari plantain waakye mic jean gizzard rice fried	"
"6	Botany Department	gizzard N-Block  sausage  indomie meat pie corn beef spaghetti sardine  macaroni jollof rice fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi ademe black pepper macaroni tilapia beans gari plantain waakye mic jean gizzard rice fried MicJean	"
"7	N-Block	fried black pepper fufu omotuo palmnut groundnut salmon goat cow mushroom soup ampesi kontomire garden eggs tomatoes stew avocado dried fish akpele abobitadi ademe black pepper macaroni tilapia beans gari plantain waakye mic jean gizzard rice fried MicJean Botany	"
"8	Volta Hall Restaurant	kenkey sardine fish tilapia green black pepper waakye gizzard beans jollof ketchup salad fried gizzard rice macaroni fufu omotuo balls goat dried tuna salmon light pamlnut groundnut soup cow	"
"9	Legon Hall Restaurant	waakye chicken sardine rice jollof fried meat cow fufu tomatoes sauce chicken grilled 	"
"10	Alpha foods	bush canteen banku omotuo fufu akple konkonte	"
"11	Hajia Special foods	bush canteen tuo zaafi waakye dawadawa jollof fried rice plain	"
"12	The cost cutter(F4)	bush canteen fufu banku konkonte	"
"13	Nelly's Kitchen	bush canteen jollof fried rice banku tilapia	"
"14	Queen's Food	bush canteen waakye fried rice chicken fries potatoes 	"
"15	Makafui's kenkey	bush canteen kenkey pepper green red fish sardine	"
"16	Mandy's Kitchen	bush canteen rice fried jollof waakye 	"
"17	R & D catering services	bush canteen yam rice boiled stew tomatoes fish chicken waakye 	"
"18	God is Good Beans	bush canteen plain rice beans plantain fried gob3	"
"19	Daavi's beans	bush canteen beans gob3	"
"20	Bread hub	bush canteen sprint family bb a1 97 egg fruit	"
"21	Meluvs	bush canteen jollof fried rice kelewele chicken wings yam chips 	chicej"
"22	Easy eats Pork chops	bush canteen pork jollof chops kenkey yam chips kenkey chicken wings 	"
"23	Daavi feli	bush canteen waakye special rice plain stew jollof	"
"24	Snack pot	bush canteen vanilla yoghurt strawberry pineapple juice pastries waffles pancakes sausage doughnut roll smoothies banana apple tropical mango pineapple milkshake chocolate vanilla coffee	"
"25	Fingerlickin'	bush canteen jollof special plain rice  waakye	"
"26	Pleasure palace	bush canteen jollof rice fried noodles spaghetti indomie chicken burgers fries yam burgers fufu local palava sauce stew balls banku soup 	"
"27			"
